"flashcard_id","english_text","category","native_text","flagged"
"08fe66de-d99e-0fb0-3f8c-ca2440aa5a98","1","numbers","หนึ่ง","false"
"cc0c8a19-54c8-94aa-0a1f-11613a0649a9","10","numbers","สิบ","false"
"98da8343-762c-e5c6-9e7f-26e28b364dee","100","numbers","หนึ่งร้อย","false"
"7ba14dee-0c98-7a9c-bd65-e5e3a14f5754","11","numbers","สิบเอ็ด","false"
"f16b8560-7c8e-3a10-a418-f6507bf47d10","12","numbers","สิบสอง","false"
"301f6ccc-8067-eda5-7638-0f7dccc9ee06","13","numbers","สิบสาม","false"
"7b5dbf46-d3c9-73cb-58a9-2a588897c925","14","numbers","สิบสี่","false"
"1f81fc8c-99f0-6221-f6bb-7ec4e631d701","15","numbers","สิบห้า","false"
"a1c4cb6d-8f93-873c-1dd4-ac32e5a5e10c","16","numbers","สิบหก","false"
"6140d374-15a1-d4f2-ba1b-d21e3a9195e7","17","numbers","สิบเจ็ด","false"
"7730cb25-7b12-4fdd-6e9e-0701979cff5d","18","numbers","สิบแปด","false"
"bf59393a-8fb0-54e8-ade0-25e513442248","19","numbers","สิบเก้า","false"
"76806ad5-6c9e-1f52-5d69-798910f84c78","2","numbers","สอง","false"
"998c5ed7-28d7-67a2-fc02-f4aa3b301dfc","20","numbers","ยี่สิบ","false"
"4431eda3-4d87-ce92-bba9-947b3c7c9c6b","21","numbers","ยี่สิบเอ็ด","false"
"472a0c5c-a3b1-ab71-d4f0-c4662febe18c","22","numbers","ยี่สิบสอง","false"
"c65676fa-abde-8141-60b6-64b9e68d6801","23","numbers","ยี่สิบสาม","false"
"511f1a83-a5cb-3492-53fc-54aad834e0b0","24","numbers","ยี่สิบสี่","false"
"5dbb5c18-3037-aa8f-a6ad-86c3529efbf7","25","numbers","ยี่สิบห้า","false"
"1f58dd07-b531-9cd1-f425-dffc98f4d91d","26","numbers","ยี่สิบหก","false"
"10c72075-db73-902b-578e-1cbd2d24ca35","27","numbers","ยี่สิบเจ็ด","false"
"9220a9d4-1fd3-f6f7-9609-abd98e99749a","28","numbers","ยี่สิบแปด","false"
"d7ba1c30-4763-b01d-b89d-ac3ac33e19a6","29","numbers","ยี่สิบเก้า","false"
"17056c5f-e3f6-04a5-877d-7ff2e72a927f","3","numbers","สาม","false"
"4cf2f241-abe2-b14c-bd41-56efd7a90a50","30","numbers","สามสิบ","false"
"4047be94-f2f2-a259-507a-8953e8d49a77","31","numbers","สามสิบเอ็ด","false"
"3df4603e-8da9-4cb8-3b8d-b0058af6d0a2","32","numbers","สามสิบสอง","false"
"f0981ddc-e227-0fe5-1a79-4250f929eca0","33","numbers","สามสิบสาม","false"
"bb0bdf02-f91d-91a1-2dd1-57cada494550","34","numbers","สามสิบสี่","false"
"b8428fbe-0b67-10b3-7f7a-b855b8d83b3d","35","numbers","สามสิบห้า","false"
"a984d55d-6381-29b9-18cb-bc25677603be","36","numbers","สามสิบหก","false"
